央视频道,#genre#
CC1TV1,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$可回放#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=cctv1hd&apiKey=73c963d13814ce7d0e4743c5e7d033cc$酒店源1080P#http://47.109.155.164/jd/%E5%B1%B1%E8%A5%BF.php?id=cctv1$酒店源#http://bxny.667789.cn:88/hls/1/index.m3u8$哈尔滨联通酒店标清#http://video.qd.sdu.edu.cn/liverespath/b455c7a019d404d571655c457e0ee8a9440a7802/index.m3u8$山东大学源
CCTV2,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8#http://vapi.91kds.cc/live1/cqyx.m3u8?id=cctv2hd&apiKey=73c963d13814ce7d0e4743c5e7d033cc$重庆有线
CCTV3,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://27.40.16.70:8114/GD_CUCC/G_CCTV-5-CQ.m3u8?Provider_id=&Pcontent_id=&FvSeid=ace$广东移动
CCTV6,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202$央视频1080P
CCTV7,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$超清IPv6#http://123.184.28.33/hlslive-tx-cdn.ysp.cctv.cn/211/2024079303.m3u8$央视频1080P
CCTV17,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8#http://bxny.667789.cn:88/hls/17/index.m3u8$哈尔滨电信酒店
CCTV5+,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://[2409:8087:5e08:24::5]:6610/000000001000/5350361928876847638/1.m3u8?Contentid=5350361928876847638&livemode=1&stbId=3&channel-id=hnbblive
CCTV16-4K,http://60.255.240.247:8090/live/CCTV-16-4K_8000.m3u8$蜀小果源#http://111.13.111.242/000000001000/5000000008000023254/index.m3u8?channel-id=FifastbLive&livemode=1&stbId=3&HlsProfileId=#https://epg.pw/stream/cctv16-29.m3u8$普通4K#http://diyp.uk.to/zb/1725695663.php?id=cctv16-4k$重庆有线#http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/047/2024083703.m3u8$央视频1080P#http://117.161.12.116/live/program/live/cctv16hd4k/15000000/mnf.m3u8$百视通源#http://27.222.3.214/liveali-tp4k.cctv.cn/live/CCTV16-4K.stream/playlist.m3u8$官方4K（出问题）#http://www.lebaobei.top:6868/udp/239.255.30.80:8231$甘肃电信#http://ddns.cyruslee.top:8888/udp/239.77.1.98:5146$广东电信#http://www.hn-valve.cn:8888/udp/239.76.246.230:1234$湖南电信
CCTV娱乐,http://line.greatstar.me/play/live.php?mac=10:27:BE:15:59:81&extension=ts&stream=156405
CCTV戏曲,http://line.greatstar.me/play/live.php?mac=10:27:BE:15:59:81&extension=ts&stream=156406
CCTV娱乐,http://180.142.144.10:8181/tsfile/live/1067_1.m3u8?key=txiptv&playlive=0&authid=0$广西玉林联通酒店#http://110.72.76.106:8181/tsfile/live/1092_1.m3u8$广西贵港联通酒店
CCTV戏曲,http://110.72.76.106:8181/tsfile/live/1068_1.m3u8$广西贵港联通酒店
CCTV4（美洲）,https://hc73k3dhwo5gfkt.wcetv.com/hls/cctv4.m3u8#http://beijing_unicom_udpxy_123_113_237_8888_1.isus.cc:8888/rtp/239.3.1.214:4220$北京联通#http://ddns.cyruslee.top:8888/udp/239.253.43.121:5146$广东电信
CCTV4（欧洲）,http://beijing_unicom_udpxy_123_113_237_8888_1.isus.cc:8888/rtp/239.3.1.213:4220$北京联通
CCTV4K,http://60.255.240.247:8090/live/ys4Kcq_2000.m3u8$蜀小果源#http://113.138.130.242:8001/rtp/239.111.205.38:5140$陕西电信#http://beijing_unicom_udpxy_123_113_237_8888_1.isus.cc:8888/rtp/239.3.1.245:2000$北京联通#http://op.sev7.net:4022/udp/239.254.200.122:7266$河北电信#http://vapi.91kds.cc/live1/udp.m3u8?ip=guangxi-dx&id=239.81.1.78:4056&apiKey=73c963d13814ce7d0e4743c5e7d033cc$广西电信#http://vapi.91kds.cc/live1/udp.m3u8?ip=guangdong-dx&id=239.77.0.174:5146&apiKey=73c963d13814ce7d0e4743c5e7d033cc$广东电信#http://enlen.vip:4022/udp/239.200.200.202:8784$云南电信#http://www.furymax.top:85/udp/239.69.1.111:10304$湖北电信#http://dev.wugeng.cc:8686/udp/239.76.246.214:1234$湖南电信#http://diyp.uk.to/zb/1725695663.php?id=cctv4k$重庆有线（暂时失效）
CCTV8K,http://vapi.91kds.cc/live1/udp.m3u8?ip=jiangsu-yd&id=239.39.0.144:5140&apiKey=73c963d13814ce7d0e4743c5e7d033cc$江苏组播1#http://vapi.91kds.cc/live1/udp.m3u8?ip=jiangsu-yd&id=239.39.2.137:8137&apiKey=73c963d13814ce7d0e4743c5e7d033cc$江苏组播2#http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/016/2020603421.m3u8$央视频1080P#https://tv.cry33.com/ys4k.php?id=8k$php代理源#http://[2409:8087:2001:20:2800:0:df6e:eb02]/wh7f454c46tw2749731958_105918260/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1681529690&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3$已失效#http://[2409:8087:2001:20:2800:0:df6e:eb02]/PLTV/1/224/3221230960/1.m3u8#http://[2409:8087:2001:20:2800:0:df6e:eb02]/PLTV/1/224/3221230960/1.m3u8
CCTV中视购物,http://access.shuliyun.com:13164/playurl?playtype=live&protocol=hls&accesstoken=R660FC25DU30926083K774E2EB5IFFFFFFFFPBM2FB0704V10465Z224E9WF92C79850D1&playtoken=&programid=4200000144.m3u8#http://vapi.91kds.cc/live1/jdtv2.m3u8?id=zsgw&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源#http://vapi.91kds.cc/live1/polyv.m3u8?id=zsgw&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn源#http://113.138.130.242:8001/udp/239.111.205.96:5140$陕西电信#http://home.yulei.online:9999/udp/226.0.2.72:8488$山西联通#http://paofan.boyi56.cn:4022/udp/239.45.3.79:5140$上海电信#http://vapi.91kds.cc/live1/udp.m3u8?ip=tianjin-lt&id=225.1.2.85:5002&apiKey=73c963d13814ce7d0e4743c5e7d033cc$天津联通#http://218.86.153.29:9007/rtp/238.255.2.44:5999$贵州电信
CCTV世界地理,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=sjdl&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV世界地理,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/008/2024172003.m3u8$央视频1080P#http://[2409:8087:4c0a:22:1::27]:6610/170000001115/UmaiCHAN638077a61f4f3/1.m3u8?m3u8_level=2&IASHttpSessionId=#http://103.1.169.56/sx.v.smtcdns.net/123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/116/2012513303.m3u8#http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077a61f4f3/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQIxzzxEhTjOtZryLHMXreoGJ1P%2BMWIbO7dcr69BOnWr6VtCf%2FZIGsCvoR9H9LBuL%2Bb%2BgUMie3w0VElI8jl5lx%2Fxs#http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2012513303.m3u8#http://111.20.35.108:6610/yinhe/2/ch00000090990000002485/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=#http://bkpcp.ddns.net:8000/ysp.php?id=sjdl
CCTV兵器科技,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=gfjs&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV兵器科技,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/002/2024172103.m3u8$央视频1080P
CCTV第一剧场,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=dyjc&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV第一剧场,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/031/2024171803.m3u8$央视频1080P
CCTV怀旧剧场,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=hjjc&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV怀旧剧场,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/006/2024171903.m3u8$央视频1080P
CCTV风云剧场,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fyjc&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV风云剧场,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/096/2024171703.m3u8$央视频1080P
CCTV风云音乐,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fyyy&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV风云音乐,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/028/2024163303.m3u8$央视频1080P
CCTV风云足球,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fyzq&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV风云足球,https://epg.pw/stream/ac8062ec9484078061d3bef507c15a423ac57ae4144e3fcc4b0a198dd420f911.m3u80
CCTV风云足球,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/030/2012514203.m3u8$央视频1080P
CCTV央视文化精品,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=ysjp&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV央视文化精品,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/017/2024172303.m3u8$央视频1080P
CCTV高尔夫·网球,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=gefwq&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV高尔夫·网球,https://epg.pw/stream/b7bea242512cacd749fdc6300350d422f59ac8d08bc703b55169535d01668344.m3u8
CCTV央视台球,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=ystq&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
CCTV央视台球,https://epg.pw/stream/ca9c1cd4b97fb824cedd7fedfd0c7a950afdd7f00751cfbb7c2d89831d7746a5.m3u8
CCTV高尔夫·网球,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/085/2024166203.m3u8$央视频1080P
CCTV央视台球,http://123.184.28.50/hlslive-tx-cdn.ysp.cctv.cn/110/2024172403.m3u8$央视频1080P
CCTV央视台球,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380775932cff/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQIxzzxEhTjOtZryLHMXreoGIhhbZzYqwcgjvvRZLVRTRUXFxC%2BlDuTkdKHPnzcR1DomGVyhFGbQRmDDrX7x%2FDZL0#http://hy.baojihzjc.com:9001/udp/239.111.205.70:5140$陕西电信#http://dp.sxtv.top:88/md/cqyx.php?id=ystq$重庆有线
CCTV电视指南,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=dszn&apiKey=73c963d13814ce7d0e4743c5e7d033cc$cdn酒店源
